scrape_timestamp,source_url,cruise_id,cruise_name,nights,ship_name,ship_code,departure,destination_code,sailing_id,sailing_date,room_type,price
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Owners Suite,8638
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Icon Loft Suite,14040
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-09-03,2026-09-03,Interior,2132
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-09-03,2026-09-03,Ocean View,2178
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-09-03,2026-09-03,Balcony,2217
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-09-03,2026-09-03,Suite Guarantee,3166
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-09-03,2026-09-03,We Choose Your Suite,3065
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-09-03,2026-09-03,Surfside Family Suite,3243
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-09-03,2026-09-03,Sunset Junior Suite,5887
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-09-03,2026-09-03,Sunset Suite,6500
